1-31,enero,10197
1-28,febrero,9571
1-31,marzo,10507
1-30,abril,9939
1-31,marzo,10880
1-30,junio,10615
1-31,julio,10748
1-31,agosto,10251
1-30,septiembre,10923
1-31,octubre,11709
1-30,noviembre,11225
1-31,diciembre,9720
,,126285
