[, 50176]
[case, 2652]
[cruz, 2856]
[transfer, 7548]
[bowl, 2040]
[increase, 1836]
[deal, 9179]
[strong, 2856]
[sen, 2652]
[set, 3060]
[france, 2448]
[little, 2448]
[getting, 1632]
[football, 5508]
[fresh, 1632]
[bid, 4690]
[big, 3876]
[bit, 3264]
[thanks, 1836]
[sky, 5915]
[large, 1835]
[hodgson, 2040]
[change, 2040]
[office, 2040]
[chance, 1836]
[secretary, 3468]
[manager, 3468]
[makes, 2244]
[story, 2040]
[stoke, 4692]
[everton, 2856]
[brazil, 2040]
[road, 3672]
[review, 9792]
[goal, 2448]
[graham, 4895]
[drama, 1836]
[car, 4692]
[really, 5099]
